연도,시도,시군구,지표명,국민보험 가입자,이용환자 수,지표값(퍼센트)
2002,전국,전체,치매의료이용률,17654597,16726,0.09
2003,전국,전체,치매의료이용률,18440120,18968,0.1
2004,전국,전체,치매의료이용률,19301896,20854,0.11
2005,전국,전체,치매의료이용률,19994616,36658,0.18
2006,전국,전체,치매의료이용률,20586565,66587,0.32
2007,전국,전체,치매의료이용률,21278414,95686,0.45
2008,전국,전체,치매의료이용률,21972401,132107,0.6
2009,전국,전체,치매의료이용률,22705085,193285,0.85
2010,전국,전체,치매의료이용률,23003174,241132,1.05
2011,전국,전체,치매의료이용률,23746688,300396,1.27
2012,전국,전체,치매의료이용률,24443806,357044,1.46
2013,전국,전체,치매의료이용률,25098955,414719,1.65
2014,전국,전체,치매의료이용률,26052715,484736,1.86
2015,전국,전체,치매의료이용률,26605214,548441,2.06
2016,전국,전체,치매의료이용률,27173164,611965,2.25
2017,전국,전체,치매의료이용률,27720249,675781,2.44
2018,전국,전체,치매의료이용률,28183369,749579,2.66
2019,전국,전체,치매의료이용률,28822687,820842,2.85
2002,서울특별시,전체,치매의료이용률,4059840,4831,0.12
2002,부산광역시,전체,치매의료이용률,1426280,1311,0.09
2002,대구광역시,전체,치매의료이용률,879742,778,0.09
2002,인천광역시,전체,치매의료이용률,866654,686,0.08
2002,광주광역시,전체,치매의료이용률,426121,386,0.09
2002,대전광역시,전체,치매의료이용률,455498,485,0.11
2002,울산광역시,전체,치매의료이용률,343304,278,0.08
2002,경기도,전체,치매의료이용률,3052547,2588,0.08
2002,강원도,전체,치매의료이용률,618962,321,0.05
2002,충청북도,전체,치매의료이용률,558072,431,0.08
2002,충청남도,전체,치매의료이용률,785149,843,0.11
2002,전라북도,전체,치매의료이용률,754636,839,0.11
2002,전라남도,전체,치매의료이용률,900881,563,0.06
2002,경상북도,전체,치매의료이용률,1154807,1233,0.11
2002,경상남도,전체,치매의료이용률,1176212,1045,0.09
2002,제주도,전체,치매의료이용률,195892,108,0.06
2003,서울특별시,전체,치매의료이용률,4069257,5051,0.12
2003,부산광역시,전체,치매의료이용률,1487718,1379,0.09
2003,대구광역시,전체,치매의료이용률,924112,848,0.09
2003,인천광역시,전체,치매의료이용률,920607,767,0.08
2003,광주광역시,전체,치매의료이용률,453059,510,0.11
2003,대전광역시,전체,치매의료이용률,480289,606,0.13
2003,울산광역시,전체,치매의료이용률,363538,309,0.08
2003,경기도,전체,치매의료이용률,3382124,3097,0.09
2003,강원도,전체,치매의료이용률,642651,436,0.07
2003,충청북도,전체,치매의료이용률,577248,547,0.09
2003,충청남도,전체,치매의료이용률,805525,869,0.11
2003,전라북도,전체,치매의료이용률,781755,1068,0.14
2003,전라남도,전체,치매의료이용률,924763,760,0.08
2003,경상북도,전체,치매의료이용률,1191073,1256,0.11
2003,경상남도,전체,치매의료이용률,1229172,1270,0.1
2003,제주도,전체,치매의료이용률,207229,195,0.09
2004,서울특별시,전체,치매의료이용률,4024940,4709,0.12
2004,부산광역시,전체,치매의료이용률,1578433,1680,0.11
2004,대구광역시,전체,치매의료이용률,994813,861,0.09
2004,인천광역시,전체,치매의료이용률,973217,952,0.1
2004,광주광역시,전체,치매의료이용률,495911,588,0.12
2004,대전광역시,전체,치매의료이용률,524216,638,0.12
2004,울산광역시,전체,치매의료이용률,383397,303,0.08
2004,경기도,전체,치매의료이용률,3737329,3424,0.09
2004,강원도,전체,치매의료이용률,663188,537,0.08
2004,충청북도,전체,치매의료이용률,616225,557,0.09
2004,충청남도,전체,치매의료이용률,838094,971,0.12
2004,전라북도,전체,치매의료이용률,838088,1350,0.16
2004,전라남도,전체,치매의료이용률,934404,1104,0.12
2004,경상북도,전체,치매의료이용률,1212819,1458,0.12
2004,경상남도,전체,치매의료이용률,1270214,1490,0.12
2004,제주도,전체,치매의료이용률,216608,232,0.11
2005,서울특별시,전체,치매의료이용률,4147151,7834,0.19
2005,부산광역시,전체,치매의료이용률,1616697,2854,0.18
2005,대구광역시,전체,치매의료이용률,1027696,1623,0.16
2005,인천광역시,전체,치매의료이용률,1015518,1329,0.13
2005,광주광역시,전체,치매의료이용률,514677,1155,0.22
2005,대전광역시,전체,치매의료이용률,544707,974,0.18
2005,울산광역시,전체,치매의료이용률,404629,470,0.12
2005,경기도,전체,치매의료이용률,3974845,6445,0.16
2005,강원도,전체,치매의료이용률,677640,931,0.14
2005,충청북도,전체,치매의료이용률,634999,1013,0.16
2005,충청남도,전체,치매의료이용률,867571,1715,0.2
2005,전라북도,전체,치매의료이용률,848770,2046,0.24
2005,전라남도,전체,치매의료이용률,946373,2114,0.22
2005,경상북도,전체,치매의료이용률,1237322,2918,0.24
2005,경상남도,전체,치매의료이용률,1311829,2604,0.2
2005,제주도,전체,치매의료이용률,224192,633,0.28
2006,서울특별시,전체,치매의료이용률,4246004,12794,0.3
2006,부산광역시,전체,치매의료이용률,1645929,5434,0.33
2006,대구광역시,전체,치매의료이용률,1051117,3299,0.31
2006,인천광역시,전체,치매의료이용률,1055779,2165,0.21
2006,광주광역시,전체,치매의료이용률,530665,1884,0.36
2006,대전광역시,전체,치매의료이용률,562767,1762,0.31
2006,울산광역시,전체,치매의료이용률,422879,875,0.21
2006,경기도,전체,치매의료이용률,4169796,11358,0.27
2006,강원도,전체,치매의료이용률,691501,1692,0.24
2006,충청북도,전체,치매의료이용률,651979,1988,0.3
2006,충청남도,전체,치매의료이용률,887965,3445,0.39
2006,전라북도,전체,치매의료이용률,861657,3721,0.43
2006,전라남도,전체,치매의료이용률,960642,3961,0.41
2006,경상북도,전체,치매의료이용률,1263922,5233,0.41
2006,경상남도,전체,치매의료이용률,1352126,5861,0.43
2006,제주도,전체,치매의료이용률,231837,1115,0.48
2007,서울특별시,전체,치매의료이용률,4367156,17666,0.4
2007,부산광역시,전체,치매의료이용률,1684124,7680,0.46
2007,대구광역시,전체,치매의료이용률,1080586,4577,0.42
2007,인천광역시,전체,치매의료이용률,1102954,3092,0.28
2007,광주광역시,전체,치매의료이용률,549424,2990,0.54
2007,대전광역시,전체,치매의료이용률,583882,2422,0.41
2007,울산광역시,전체,치매의료이용률,442753,1353,0.31
2007,경기도,전체,치매의료이용률,4386646,16482,0.38
2007,강원도,전체,치매의료이용률,708374,2621,0.37
2007,충청북도,전체,치매의료이용률,672877,2786,0.41
2007,충청남도,전체,치매의료이용률,913999,5034,0.55
2007,전라북도,전체,치매의료이용률,877526,5690,0.65
2007,전라남도,전체,치매의료이용률,975962,6304,0.65
2007,경상북도,전체,치매의료이용률,1293737,7239,0.56
2007,경상남도,전체,치매의료이용률,1398268,8268,0.59
2007,제주특별자치도,전체,치매의료이용률,240146,1482,0.62
2008,서울특별시,전체,치매의료이용률,4482836,22869,0.51
2008,부산광역시,전체,치매의료이용률,1718232,10850,0.63
2008,대구광역시,전체,치매의료이용률,1110712,6402,0.58
2008,인천광역시,전체,치매의료이용률,1151238,4386,0.38
2008,광주광역시,전체,치매의료이용률,569238,4060,0.71
2008,대전광역시,전체,치매의료이용률,606072,3430,0.57
2008,울산광역시,전체,치매의료이용률,460944,2000,0.43
2008,경기도,전체,치매의료이용률,4608832,21663,0.47
2008,강원도,전체,치매의료이용률,726092,3542,0.49
2008,충청북도,전체,치매의료이용률,695760,3985,0.57
2008,충청남도,전체,치매의료이용률,943257,6928,0.73
2008,전라북도,전체,치매의료이용률,895394,8813,0.98
2008,전라남도,전체,치매의료이용률,990100,9138,0.92
2008,경상북도,전체,치매의료이용률,1319901,10182,0.77
2008,경상남도,전체,치매의료이용률,1446901,11766,0.81
2008,제주특별자치도,전체,치매의료이용률,246892,2093,0.85
2009,서울특별시,전체,치매의료이용률,4603912,31721,0.69
2009,부산광역시,전체,치매의료이용률,1751735,15643,0.89
2009,대구광역시,전체,치매의료이용률,1144511,9529,0.83
2009,인천광역시,전체,치매의료이용률,1194128,6572,0.55
2009,광주광역시,전체,치매의료이용률,588665,5469,0.93
2009,대전광역시,전체,치매의료이용률,627521,4872,0.78
2009,울산광역시,전체,치매의료이용률,480479,2834,0.59
2009,경기도,전체,치매의료이용률,4848450,31613,0.65
2009,강원도,전체,치매의료이용률,746786,5742,0.77
2009,충청북도,전체,치매의료이용률,720197,6243,0.87
2009,충청남도,전체,치매의료이용률,976116,10776,1.1
2009,전라북도,전체,치매의료이용률,912793,12451,1.36
2009,전라남도,전체,치매의료이용률,1004747,13713,1.36
2009,경상북도,전체,치매의료이용률,1351689,15462,1.14
2009,경상남도,전체,치매의료이용률,1497729,17587,1.17
2009,제주특별자치도,전체,치매의료이용률,255627,3058,1.2
2010,서울특별시,전체,치매의료이용률,4678604,38765,0.83
2010,부산광역시,전체,치매의료이용률,1769746,19553,1.1
2010,대구광역시,전체,치매의료이용률,1160018,11545,1
2010,인천광역시,전체,치매의료이용률,1225571,9025,0.74
2010,광주광역시,전체,치매의료이용률,599091,7126,1.19
2010,대전광역시,전체,치매의료이용률,635885,6146,0.97
2010,울산광역시,전체,치매의료이용률,496111,3673,0.74
2010,경기도,전체,치매의료이용률,5008528,39735,0.79
2010,강원도,전체,치매의료이용률,728187,6995,0.96
2010,충청북도,전체,치매의료이용률,721852,8433,1.17
2010,충청남도,전체,치매의료이용률,973316,13413,1.38
2010,전라북도,전체,치매의료이용률,901390,14975,1.66
2010,전라남도,전체,치매의료이용률,990511,17690,1.79
2010,경상북도,전체,치매의료이용률,1348136,18969,1.41
2010,경상남도,전체,치매의료이용률,1517481,21692,1.43
2010,제주특별자치도,전체,치매의료이용률,248747,3397,1.37
2011,서울특별시,전체,치매의료이용률,4789852,46243,0.97
2011,부산광역시,전체,치매의료이용률,1806991,24122,1.33
2011,대구광역시,전체,치매의료이용률,1192462,14345,1.2
