치매센터명,치매센터유형,소재지도로명주소,소재지지번주소,위도,경도,설립연월,건축물면적,부대시설정보,의사인원수,간호사인원수,사회복지사인원수,기타인원현황,운영기관명,운영기관대표자명,운영기관전화번호,운영위탁일자,주요치매관리프로그램소개,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
익산시치매상담센터,치매상담전화센터,전라북도 익산시 선화로 255 (국민생활관 2층),전라북도 익산시 남중동 86-10,35.94545821,126.9583129,2021-04,165,사무실(1)+상담실(2)+프로그램실(1),0,4,2,물리치료사(1),익산시보건소,김재광,063-859-4085,,"치매환자 등록관리, 치매조기검진, 치매치료비 지원,인지증진프로그램, 치매환자 가족지지모임 등",,익산시 보건소,2021-09-17,4680000,전라북도 익산시
울산중구치매안심센터,치매안심센터,울산광역시 중구 외솔큰길 225 중구보건소 2층,울산광역시 중구 남외동 603-2 중구보건소 2층,35.5694483,129.3504562,2020-10,259.9,사무실(1)+상담실(2)+교육실(1)+프로그램실(1)+가족카페(1)+검진실(1),0,10,1,작업치료사(2),울산광역시 중구보건소,황병훈,052-290-4366,,"무료치매선별검사, 치매예방 인지건강프로그램, 치매예방 가족교육 등",052-290-4362,울산광역시 중구 보건소,2021-09-16,3690000,울산광역시 중구
안산시상록수보건소 치매안심센터,치매안심센터,경기도 안산시 상록구 차돌배기로1길 5,경기도 안산시 상록구 사동 1584,37.30026357,126.8450629,2019-05,430,로비(1)+사무실(1)+교육상담실(1)+검진실(3)+가족카페(1)+쉼터(1),4,15,3,2(작업치료사),안산시 상록수보건소,박건희,031-481-5857,,"조기검진, 등록관리, 예방및홍보, 쉼터및가족카페 운영",1666-1234,경기도 안산시 상록수보건소,2021-08-31,3930000,경기도 안산시
안산시단원보건소 치매안심센터,치매안심센터,"경기도 안산시 단원구 화랑로 250,단원보건소 3층",경기도 안산시 단원구 초지동 666-8,37.32106713,126.8152625,2019-03,558.41,로비(1)+사무실(1)+상담실(1)+검진실(2)+가족카페(1)+쉼터(3),3,10,1,4,안산시 단원보건소,정재훈,031-481-6556,,"조기검진, 등록관리, 예방및홍보, 쉼터및가족카페 운영",1666-1234,경기도 안산시 단원보건소,2021-08-31,3930000,경기도 안산시
진안군치매안심센터,치매안심센터,전라북도 진안군 진안읍 진무로 1189,,35.7973085385,127.4347748367,2018-10,358,,1,10,3,작업치료사(1)+조무사(1),진안군보건소,이임옥,063-430-8582,,"치매조기검진, 치매의료비지원, 치매극복의날 기념행사, 한마음 치매극복 걷기대회, 치매환자 및 가족 프로그램, 치매인식개선사업, 치매안심마을운영, 치매공공후견인사업, 치매파트너 및 파트너플러스 양성, 치매극복선도단체, 맞춤형 돌봄 사례 등관리, 실종예방사업, 쉼터운영, 조호물품지원 등",,진안군청,2021-09-15,4730000,전라북도 진안군
영덕군치매안심센터,치매안심센터,경상북도 영덕군 영덕읍 군청길 53,경상북도 영덕군 영덕읍 덕곡리 228-2,36.4135451232,129.3735579543,2020-07,727.25,사무실(1)+프로그램실(1)+교육실카페(1)+상담실(1)+검사실(1)+화장실(1),0,7,5,3,경상북도 영덕군 보건소,김재희,054-730-7177,,"치매조기검진,치매환자 사례관리,치매 프로그램 운영,치매치료관리비 지원,치매인식개선사업 등",054-730-6813,경상북도 영덕군청,2021-09-15,5180000,경상북도 영덕군
부산광역시 해운대구,치매안심센터,부산광역시 해운대구 양운로 37번길 59,부산광역시 해운대구 좌동 1339,35.16410942,129.1786558,2019-05,630,주차장등,3,9,4,4,해운대구치매안심센터,정연희,051-749-0770,,"치매조기검진(선별,정밀)치매환자 상담 및 등록관리조호물품지원치매치료비지원치매환자 공공후견인지원치매예방교실인지강화교실(두근두근뇌운동)인지재활교실 가족교실(헤아림)가족모임지원 등",051-749-7572,해운대구보건소,2021-10-14,3330000,부산광역시 해운대구
군산시치매안심센터,치매안심센터,전라북도 군산시 공단대로 482(나운동),전라북도 군산시 나운동 808-2,35.9646059,126.6897785,2018-07,956.7,사무실(3)+상담실(3)+프로그램실(2)+가족카페(1),1,9,5,임상심리사(1)+작업치료사(5),군산시보건소,백종현,063-454-5870,2015-07-01,"무료치매검사, 치매환자쉼터운영,치매예방 및 인지강화프로그램 운영 등",063-460-3277,군산시보건소,2021-10-14,4670000,전라북도 군산시
나주시치매안심센터,치매안심센터,전라남도 나주시 이창동 풍물시장2길 57-32,전라남도 나주시 이창동 740-1,34.99522645,126.708224,2021-12,827,,0,7,5,3,나주시,윤상식,061-339-2101,2018-11-22,"치매조기검진, 프로그램 운영 등",061-339-2101,전라남도 나주시,2021-10-15,6460000,전라남도
광양시치매안심센터,치매안심센터,전라남도 광양시 광양읍 호북길 13-3,전라남도 광양시 광양읍 칠성리 898-3,34.98010194,127.5836099874,2021-10,593,,1,9,2,4,광양시,박주필,061-797-4059,2018-10-11,"치매조기검진, 상담등록관리 등 운영",061-797-4059,전라남도 광양시,2021-10-15,6460000,전라남도
담양군치매안심센터,치매안심센터,전라남도 담양군 담양읍 완동길 10-5,전라남도 담양군 담양읍 만성리 116-1,35.32470177,126.9807438,2021-02,613.8,,0,9,1,8,담양군,김순복,061-380-2963,2019-01-29,"치매환자 쉼터 운영, 조기검진",061-380-2963,전라남도 담양군,2021-10-15,6460000,전라남도
곡성군치매안심센터,치매안심센터,전라남도 곡성군 곡성읍 곡성로 854,전라남도 곡성군 곡성읍 읍내리 220,35.27886716,127.2969046,2021-09,342.7,,1,7,0,2,곡성군,임인동,061-360-8981,2019-07-10,"등록관리, 쉼터,예방 등",061-360-8981,전라남도 곡성군,2021-10-15,6460000,전라남도
구례군치매안심센터,치매안심센터,전라남도 구례군 구례읍 동편제길 30,전라남도 구례읍 백련리 576,35.21607284,127.4617801,2021-12,437,,1,5,3,2,구례군,김형진,061-780-2023,2017-11-01,"치매쉼터프로그램, 치매예방교실, 인지강화 교실",061-780-2023,전라남도 구례군,2021-10-15,6460000,전라남도
하동군치매안심센터,치매안심센터,경상남도 하동군 하동읍 군청로31,경상남도 하동군 하동읍 읍내리 149-1,35.0671663372,127.7527913083,2017-07,,"상담실, 사무실",0,5,2,3,하동군보건소,이경숙,055-882-4000,,1.치매상담등록관리2.치매조기검지3.사례관리4.가족지원사업5.인지강화 및 예방프로그램운영6.치매파트너 및 등대지기 양성 등,055-882-4000,하동군보건소,2020-10-27,5440000,경상남도 하동군
서울특별시송파구치매안심센터,치매안심센터,서울특별시 송파구 충민로 184,서울특별시 송파구 장지동 850-2,37.48578411,127.1341622,2008-03,682,사무실(1)+검진실(3)+프로그램실(4)+가족소모임실(1)+치매가족카페(1),0,11,4,작업치료사(3)+임상심리사(1),송파구보건소,김인국,02-2147-5050,,"치매조기검진, 치매인식개선 및 등록관리사업, 쉼터 및 인지건강프로그램 운영 등",02-2147-2356,서울특별시 송파구청,2021-02-19,3230000,서울특별시 송파구
시흥시 치매안심센터(연성센터),치매안심센터,경기도 시흥시 장현천1길 32,경기도 시흥시 하중동 798-5,37.38413218,126.8021091,2020-01,348.25,사무실(1)+회의실(1)+교육실(1)+ 검진및상담실(3)+환자쉼터(1)+가족카페(1),0,4,1,작업치료사(2)+송영및쉼터보조인력(1),시흥시보건소,박명희,031-310-6825,,치매조기검진/치매의료비 및 검진비 지원/ 치매예방교육/ 치매환자쉼터 및 가족지원사업 등,031-310-5858,경기도 시흥시청,2021-06-01,4010000,경기도 시흥시
시흥시 치매안심센터(정왕센터),치매안심센터,경기도 시흥시 정왕대로233번길 19,경기도 시흥시 정왕동 1799-5,37.34672069,126.7401529,2018-11,538.68,사무실(1)+회의실(1)+교육실(2)+검진및상담실(4)+환자쉼터(1)+가족카페(1),0,4,1,작업치료사(2)+의무기록사(1)+송영및쉼터보조인력(1),시흥시보건소,박명희,031-310-5930,,치매조기검진/치매의료비 및 검진비 지원/ 치매예방교육/ 치매환자쉼터 및 가족지원사업 등,031-310-5858,경기도 시흥시청,2021-06-01,4010000,경기도 시흥시
시흥시 치매안심센터(대야신천센터),치매안심센터,경기도 시흥시 호현로 55,경기도 시흥시 대야동 484-3,37.445579,126.785283,2019-04,489,사무실(1)+회의실(1)+ 검진실(2)+환자쉼터(1)+가족카페(1),0,5,1,작업치료사(2)+송영및쉼터보조인력(1),시흥시보건소,박명희,031-310-5857,,치매조기검진/치매의료비 및 검진비 지원/ 치매예방교육/ 치매환자쉼터 및 가족지원사업 등,031-310-5858,경기도 시흥시청,2021-06-01,4010000,경기도 시흥시
전주시 치매안심센터,치매안심센터,전라북도 전주시 완산구 전라감영로 33,전라북도 전주시 완산구 중앙동4가 30-1,35.81584604,127.1433514,2021-11,239.58,사무실+휴게실+프로그램실 등,0,13,3,임상심리사(1)+작업치료사(1)+기타행정인력(1),전주시보건소,김신선,063-281-6291,,"치매환자 등록관리, 인지재활프로그램,가정방문사례관리 등",063-281-6291,전주시 보건소,2021-10-12,4640000,전라북도 전주시
